,Question,orig_Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
15, jake number0 fewer peaches than steven . steven number1 peaches . how many peaches jake ?,jake has number0 fewer peaches than steven . steven has number1 peaches . how many peaches does jake have ?,6 13,- number1 number0,7.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",jake has number0 fewer peaches than steven . steven has number1 peaches .,how many peaches does jake have ?
16, david number0 fewer apples than marin . marin number1 apples . how many apples david ?,david has number0 fewer apples than marin . marin has number1 apples . how many apples does david have ?,0 3,- number1 number0,3.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",david has number0 fewer apples than marin . marin has number1 apples .,how many apples does david have ?
17, jake number0 fewer balls than audrey . audrey number1 balls . how many balls jake ?,jake has number0 fewer balls than audrey . audrey has number1 balls . how many balls does jake have ?,34 41,- number1 number0,7.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",jake has number0 fewer balls than audrey . audrey has number1 balls .,how many balls does jake have ?
18, brian number0 fewer oranges than marcie . marcie number1 oranges . how many oranges brian ?,brian has number0 fewer oranges than marcie . marcie has number1 oranges . how many oranges does brian have ?,0 12,- number1 number0,12.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",brian has number0 fewer oranges than marcie . marcie has number1 oranges .,how many oranges does brian have ?
19, number0 birds on the fence . number1 more birds to them . how many birds on the fence ?,number0 birds were sitting on the fence . number1 more birds came to join them . how many birds are sitting on the fence ?,2 4,+ number0 number1,6.0,"[0, 1, 3, 4, 8, 9, 10, 21, 22, 23]",number0 birds were sitting on the fence . number1 more birds came to join them .,how many birds are sitting on the fence ?
20, you number0 cookies and you number1 of them . how many cookies you ?,you have number0 cookies and you ate number1 of them . how many cookies do you have left ?,7 2,- number0 number1,5.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",you have number0 cookies and you ate number1 of them .,how many cookies do you have left ?
21, you number0 crickets . how many more crickets you to to number1 crickets ?,you have collected number0 crickets . how many more crickets do you need to collect to have number1 crickets ?,7 11,- number1 number0,4.0,"[1, 2, 3, 4, 6, 10, 16, 17, 18]",you have collected number0 crickets .,how many more crickets do you need to collect to have number1 crickets ?
22, number0 birds on a branch . number1 away . how many birds on the branch ?,number0 birds are sitting on a branch . number1 flies away . how many birds are left on the branch ?,4 1,- number0 number1,3.0,"[0, 1, 3, 8, 9, 17, 18, 19]",number0 birds are sitting on a branch . number1 flies away .,how many birds are left on the branch ?
23, number0 raccoons in the woods . number1 home to dinner . how many raccoons in the woods ?,number0 raccoons are playing in the woods . number1 go home to eat dinner . how many raccoons are left in the woods ?,3 2,- number0 number1,1.0,"[0, 1, 3, 8, 9, 20, 21, 22]",number0 raccoons are playing in the woods . number1 go home to eat dinner .,how many raccoons are left in the woods ?
24, number0 owls on the fence . number1 more owls them . how many owls on the fence now ?,number0 owls were sitting on the fence . number1 more owls joined them . how many owls are on the fence now ?,3 2,+ number0 number1,5.0,"[0, 1, 3, 6, 8, 9, 10, 19, 20, 21]",number0 owls were sitting on the fence . number1 more owls joined them .,how many owls are on the fence now ?
25, number0 beavers on their home . number1 for a swim . how many beavers still on their home ?,number0 beavers were working on their home . number1 went for a swim . how many beavers are still working on their home ?,2 1,- number0 number1,1.0,"[0, 1, 3, 5, 8, 9, 20, 21, 22]",number0 beavers were working on their home . number1 went for a swim .,how many beavers are still working on their home ?
26, number0 toucans on a tree limb . number1 more toucan them . how many toucans in all ?,number0 toucans are sitting on a tree limb . number1 more toucan joins them . how many toucans in all ?,2 1,+ number0 number1,3.0,"[0, 1, 3, 9, 10, 11, 17, 18, 19]",number0 toucans are sitting on a tree limb . number1 more toucan joins them .,how many toucans in all ?
27, mrs. hilt 's favorite first grade classes muffins . mrs. brier 's class number0 muffins macadams 's class number1 muffins and flannery 's class number2 muffins . how many muffins first bake in all ?,mrs. hilt 's favorite first grade classes are baking muffins . mrs. brier 's class bakes number0 muffins mrs. macadams 's class bakes number1 muffins and mrs. flannery 's class bakes number2 muffins . how many muffins does first grade bake in all ?,18 20 17,+ + number0 number1 number2,55.0,"[32, 1, 4, 6, 8, 40, 41, 11, 42, 15, 16, 17, 19, 22, 23, 24, 30, 31]",mrs. hilt 's favorite first grade classes are baking muffins . mrs. brier 's class bakes number0 muffins mrs. macadams 's class bakes number1 muffins and mrs. flannery 's class bakes number2 muffins .,how many muffins does first grade bake in all ?
28, mrs. hilt a yoyo for number0 cents and a whistle for number1 cents . how much she in all for the number2 ?,mrs. hilt bought a yoyo for number0 cents and a whistle for number1 cents . how much did she spend in all for the number2 toys ?,24 14 2,+ number0 number1,38.0,"[5, 6, 7, 11, 12, 13, 23, 24, 25]",mrs. hilt bought a yoyo for number0 cents and a whistle for number1 cents .,how much did she spend in all for the number2 toys ?
29, mrs. hilt number0 rice krispie treats . she number1 large marshmallows and number2 mini marshmallows . how many marshmallows she altogether ?,mrs. hilt made number0 rice krispie treats . she used number1 large marshmallows and number2 mini marshmallows . how many marshmallows did she use altogether ?,5 8 10,+ number1 number2,18.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",mrs. hilt made number0 rice krispie treats . she used number1 large marshmallows and number2 mini marshmallows .,how many marshmallows did she use altogether ?
30, at mrs. hilt 's house there number0 inches of snow and brecknock elementary school number1 inches of snow . how much more snow hilt 's house ?,at mrs. hilt 's house there was number0 inches of snow and brecknock elementary school received number1 inches of snow . how much more snow did mrs. hilt 's house have ?,29 17,- number0 number1,12.0,"[6, 7, 8, 15, 16, 17, 28, 29, 30]",at mrs. hilt 's house there was number0 inches of snow and brecknock elementary school received number1 inches of snow .,how much more snow did mrs. hilt 's house have ?
31, mrs. hilt $ number0 . she $ number1 on a toy truck and $ number2 on a pencil case . how much money she ?,mrs. hilt has $ number0 . she spends $ number1 on a toy truck and $ number2 on a pencil case . how much money does she have left ?,10 3 2,- number0 + number1 number2,5.0,"[2, 3, 4, 7, 8, 9, 10, 15, 16, 17, 26, 27, 28]",mrs. hilt has $ number0 . she spends $ number1 on a toy truck and $ number2 on a pencil case .,how much money does she have left ?
32, mrs. hilt number0 friends . she can only number1 of her friends to the movies . how many friends ca n't to the movies ?,mrs. hilt has number0 friends . she can only take number1 of her friends to the movies . how many friends ca n't go to the movies ?,15 8,- number0 number1,7.0,"[1, 2, 3, 4, 5, 9, 10, 11, 24, 25, 26]",mrs. hilt has number0 friends . she can only take number1 of her friends to the movies .,how many friends ca n't go to the movies ?
33, mrs. hilt number0 miles on monday number1 miles on wednesday and number2 miles on friday . how many total miles she that week ?,mrs. hilt ran number0 miles on monday number1 miles on wednesday and number2 miles on friday . how many total miles did she run that week ?,3 2 7,+ + number0 number1 number2,12.0,"[1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 23, 24, 25]",mrs. hilt ran number0 miles on monday number1 miles on wednesday and number2 miles on friday .,how many total miles did she run that week ?
34, mrs. hilt up a book that number0 pages in it . she number1 of the pages . how many pages she to ?,mrs. hilt picked up a book that has number0 pages in it . she read number1 of the pages . how many pages did she have left to read ?,17 11,- number0 number1,6.0,"[1, 6, 7, 8, 9, 14, 15, 16, 26, 27, 28]",mrs. hilt picked up a book that has number0 pages in it . she read number1 of the pages .,how many pages did she have left to read ?
35, mrs. hilt number0 cents . she a pencil for number1 cents . how much money she ?,mrs. hilt had number0 cents . she bought a pencil for number1 cents . how much money did she have left ?,15 11,- number0 number1,4.0,"[2, 3, 4, 10, 11, 12, 18, 19, 20]",mrs. hilt had number0 cents . she bought a pencil for number1 cents .,how much money did she have left ?
36, mrs. number0 friends . number1 of the friends pears . the rest oranges . how many friends oranges ?,mrs. hilt met number0 friends . number1 of the friends were carrying pears . the rest were carrying oranges . how many friends were carrying oranges ?,15 9,- number0 number1,6.0,"[1, 2, 3, 4, 6, 7, 23, 24, 25]",mrs. hilt met number0 friends . number1 of the friends were carrying pears . the rest were carrying oranges .,how many friends were carrying oranges ?
37, mary 's mom ready for mary 's birthday party . she up number0 balloons this morning and number1 balloons this afternoon . how many balloons she up in all ?,mary 's mom is getting ready for mary 's birthday party . she blew up number0 balloons this morning and number1 balloons this afternoon . how many balloons did she blow up in all ?,6 5,+ number0 number1,11.0,"[32, 1, 33, 5, 14, 15, 16, 19, 20, 21, 31]",mary 's mom is getting ready for mary 's birthday party . she blew up number0 balloons this morning and number1 balloons this afternoon .,how many balloons did she blow up in all ?
38, shelby 's teacher out gold stars for great math work . yesterday number0 gold stars . today she number1 more . how many gold stars earn in all ?,shelby 's teacher gives out gold stars for great math work . yesterday shelby earned number0 gold stars . today she earned number1 more . how many gold stars did shelby earn in all ?,4 3,+ number0 number1,7.0,"[32, 1, 2, 3, 33, 6, 14, 15, 16, 17, 21, 22, 23, 31]",shelby 's teacher gives out gold stars for great math work . yesterday shelby earned number0 gold stars . today she earned number1 more .,how many gold stars did shelby earn in all ?
39, the litter patrol up number0 glass bottles and number1 aluminum cans on saturday . how many pieces of litter they up altogether ?,the litter patrol picked up number0 glass bottles and number1 aluminum cans on saturday . how many pieces of litter did they pick up altogether ?,10 8,+ number0 number1,18.0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 22, 23, 24]",the litter patrol picked up number0 glass bottles and number1 aluminum cans on saturday .,how many pieces of litter did they pick up altogether ?
40, millie number0 bracelets . she number1 of them . how many bracelets millie ?,millie had number0 bracelets . she lost number1 of them . how many bracelets does millie have left ?,9 2,- number0 number1,7.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",millie had number0 bracelets . she lost number1 of them .,how many bracelets does millie have left ?
41, sammy number0 math problems to for homework . he already number1 of them . how many math problems sammy ?,sammy has number0 math problems to do for homework . he has already finished number1 of them . how many math problems does sammy have left ?,9 2,- number0 number1,7.0,"[1, 2, 3, 4, 7, 13, 14, 15, 23, 24, 25]",sammy has number0 math problems to do for homework . he has already finished number1 of them .,how many math problems does sammy have left ?
42, there number0 students on the school bus . at the first stop number1 students off of the bus . how many students on the bus ?,there were number0 students riding on the school bus . at the first stop number1 students got off of the bus . how many students are left on the bus ?,10 3,- number0 number1,7.0,"[1, 2, 3, 13, 14, 15, 16, 27, 28, 29]",there were number0 students riding on the school bus . at the first stop number1 students got off of the bus .,how many students are left on the bus ?
43, there number0 ducks in the pond . number1 ducks away . how many ducks still in the pond ?,there were number0 ducks swimming in the pond . number1 ducks flew away . how many ducks are still swimming in the pond ?,8 3,- number0 number1,5.0,"[1, 2, 3, 5, 9, 10, 20, 21, 22]",there were number0 ducks swimming in the pond . number1 ducks flew away .,how many ducks are still swimming in the pond ?
44, lucy to the grocery store . she number0 packs of cookies and number1 packs of noodles . how many packs of groceries she in all ?,lucy went to the grocery store . she bought number0 packs of cookies and number1 packs of noodles . how many packs of groceries did she buy in all ?,12 16,+ number0 number1,28.0,"[1, 7, 8, 9, 10, 13, 14, 15, 26, 27, 28]",lucy went to the grocery store . she bought number0 packs of cookies and number1 packs of noodles .,how many packs of groceries did she buy in all ?
45, roden to a pet shop . he number0 gold fish and number1 blue fish . how many fish he ?,roden went to a pet shop . he bought number0 gold fish and number1 blue fish . how many fish did he buy ?,15 7,+ number0 number1,22.0,"[1, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20, 21, 22]",roden went to a pet shop . he bought number0 gold fish and number1 blue fish .,how many fish did he buy ?
46, i number0 pages of my english book yesterday . today number1 pages . what the total number of pages read ?,i read number0 pages of my english book yesterday . today i read number1 pages . what is the total number of pages did i read ?,21 17,+ number0 number1,38.0,"[1, 2, 3, 12, 13, 14, 23, 24, 25]",i read number0 pages of my english book yesterday . today i read number1 pages .,what is the total number of pages did i read ?
47, in a school there number0 girls and number1 boys . how many pupils there in that school ?,in a school there are number0 girls and number1 boys . how many pupils are there in that school ?,542 387,+ number0 number1,929.0,"[4, 5, 6, 7, 8, 9, 16, 17, 18]",in a school there are number0 girls and number1 boys .,how many pupils are there in that school ?
48, linda number0 candies . chloe number1 how many candies they in all ?,linda has number0 candies . chloe has number1 how many candies do they have in all ?,34 28,+ number0 number1,62.0,"[1, 2, 3, 5, 6, 7, 8, 13, 14, 15]",linda has number0 candies . chloe has number1 how,many candies do they have in all ?
49, jose number0 chickens and number1 ducks . how many fowls he ?,jose has number0 chickens and number1 ducks . how many fowls does he have ?,28 18,+ number0 number1,46.0,"[1, 2, 3, 4, 5, 6, 11, 12, 13]",jose has number0 chickens and number1 ducks .,how many fowls does he have ?
50, jovana her bucket with number0 pounds of shells . if a friend to number1 pounds of shells and another friend to number2 pounds of shells how many pounds she altogether ?,jovana filled her bucket with number0 pounds of shells . if a friend comes to add number1 pounds of shells and another friend comes to add number2 pounds of shells how many pounds does she have altogether ?,5 15 17,+ + number0 number1 number2,37.0,"[34, 35, 4, 5, 6, 36, 15, 16, 17, 21, 25, 26, 27]",jovana filled her bucket with number0 pounds of shells . if a friend comes to add number1 pounds of shells and another friend comes to add number2 pounds of shells,how many pounds does she have altogether ?
51, cade number0 marbles . he number1 to . how many he ?,cade had number0 marbles . he gave number1 to dylan . how many does he have left ?,87 8,- number0 number1,79.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",cade had number0 marbles . he gave number1 to dylan .,how many does he have left ?
52, michael some fish in his fish tank . ben him number0 more fish . now he number1 how many fish he to with ?,michael has some fish in his fish tank . ben gave him number0 more fish . now he has number1 how many fish did he have to begin with ?,18 49,- number1 number0,31.0,"[1, 4, 7, 11, 12, 13, 14, 18, 19, 20, 26, 27, 28]",michael has some fish in his fish tank . ben gave him number0 more fish . now he has number1 how,many fish did he have to begin with ?
53, hayley number0 meatballs on her plate . stole some of her meatballs . now she number1 meatballs on her plate . how many meatballs steal ?,hayley had number0 meatballs on her plate . kirsten stole some of her meatballs . now she has number1 meatballs on her plate . how many meatballs did kirsten steal ?,25 11,- number0 number1,14.0,"[1, 2, 3, 5, 17, 18, 19, 27, 28, 29]",hayley had number0 meatballs on her plate . kirsten stole some of her meatballs . now she has number1 meatballs on her plate .,how many meatballs did kirsten steal ?
54, isabella 's hair number0 inches long . if she a haircut and now her hair number1 inches long how much of isabella 's hair off ?,isabella 's hair is number0 inches long . if she gets a haircut and now her hair is number1 inches long how much of isabella 's hair got cut off ?,18 9,- number0 number1,9.0,"[3, 4, 5, 17, 18, 19, 27, 28, 29]",isabella 's hair is number0 inches long . if she gets a haircut and now her hair is number1 inches long,how much of isabella 's hair got cut off ?
55, isabella 's hair number0 inches long . by the end of the year her hair number1 inches long . how much hair she ?,isabella 's hair is number0 inches long . by the end of the year her hair is number1 inches long . how much hair did she grow ?,18 24,- number1 number0,6.0,"[3, 4, 5, 16, 17, 18, 24, 25, 26]",isabella 's hair is number0 inches long . by the end of the year her hair is number1 inches long .,how much hair did she grow ?
56, jovana number0 pounds of shells in her bucket . she some shells and now number1 pounds of shells . how many pounds she ?,jovana had number0 pounds of shells in her bucket . she added some shells and now has number1 pounds of shells . how many pounds did she add ?,5 28,- number1 number0,23.0,"[1, 2, 3, 5, 6, 16, 17, 18, 25, 26, 27]",jovana had number0 pounds of shells in her bucket . she added some shells and now has number1 pounds of shells .,how many pounds did she add ?
57, isha 's pencil number0 inches long . if she it now her pencil number1 inches long . how much she off of her pencil ?,isha 's pencil is number0 inches long . if she sharpens it now her pencil is number1 inches long . how much did she sharpen off of her pencil ?,31 14,- number0 number1,17.0,"[3, 4, 5, 15, 16, 17, 26, 27, 28]",isha 's pencil is number0 inches long . if she sharpens it now her pencil is number1 inches long .,how much did she sharpen off of her pencil ?
58, mrs. sheridan number0 cats . how many more cats need to number1 cats ?,mrs. sheridan has number0 cats . how many more cats does mrs. sheridan need to have number1 cats ?,11 43,- number1 number0,32.0,"[1, 2, 3, 4, 7, 9, 15, 16, 17]",mrs. sheridan has number0 cats .,how many more cats does mrs. sheridan need to have number1 cats ?
59, mrs. wong number0 valentines . she number1 valentines to her children . how many she ?,mrs. wong had number0 valentines . she gave number1 valentines to her children . how many does she have left ?,30 8,- number0 number1,22.0,"[1, 2, 3, 4, 7, 8, 9, 17, 18, 19]",mrs. wong had number0 valentines . she gave number1 valentines to her children .,how many does she have left ?
60, mrs. franklin number0 valentines . mrs. franklin some to her students . now she number1 how many valentines franklin give to her students ?,mrs. franklin had number0 valentines . mrs. franklin gave some to her students . now she has number1 how many valentines did mrs. franklin give to her students ?,58 16,- number0 number1,42.0,"[1, 2, 3, 4, 6, 16, 17, 18, 25, 26, 27]",mrs. franklin had number0 valentines . mrs. franklin gave some to her students . now she has number1 how,many valentines did mrs. franklin give to her students ?
61, cindy number0 pieces of candy . she number1 pieces in the morning and number2 more pieces in the afternoon . how many pieces of candy she ?,cindy had number0 pieces of candy . she ate number1 pieces in the morning and number2 more pieces in the afternoon . how many pieces of candy does she have left ?,41 6 12,- - number0 number1 number2,23.0,"[1, 2, 3, 8, 9, 10, 14, 15, 16, 17, 28, 29, 30]",cindy had number0 pieces of candy . she ate number1 pieces in the morning and number2 more pieces in the afternoon .,how many pieces of candy does she have left ?
62, robert to practice goal kicks for soccer . he to number0 kicks before home from the park . he number1 kicks before a break to a drink of water . he then another number2 kicks . how many more kicks he to before he home ?,robert wants to practice goal kicks for soccer . he decides to have number0 kicks before going home from the park . he takes number1 kicks before taking a break to get a drink of water . he then takes another number2 kicks . how many more kicks does he need to make before he goes home ?,98 43 36,- - number0 number1 number2,19.0,"[1, 2, 3, 40, 41, 42, 12, 13, 14, 55, 54, 23, 24, 25, 56]",robert wants to practice goal kicks for soccer . he decides to have number0 kicks before going home from the park . he takes number1 kicks before taking a break to get a drink of water . he then takes another number2 kicks .,how many more kicks does he need to make before he goes home ?
63, cindy number0 stickers . she number1 stickers . she number2 more stickers . how many stickers cindy now ?,cindy has number0 stickers . she uses number1 stickers . she buys number2 more stickers . how many stickers does cindy have now ?,105 23 45,+ - number0 number1 number2,127.0,"[1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 20, 21, 22]",cindy has number0 stickers . she uses number1 stickers . she buys number2 more stickers .,how many stickers does cindy have now ?
64, brian number0 pencils . he number1 pencils to a friend . he number2 more pencils . how many pencils brian now ?,brian has number0 pencils . he gives number1 pencils to a friend . he buys number2 more pencils . how many pencils does brian have now ?,39 18 22,+ - number0 number1 number2,43.0,"[1, 2, 3, 5, 6, 7, 8, 14, 15, 16, 17, 23, 24, 25]",brian has number0 pencils . he gives number1 pencils to a friend . he buys number2 more pencils .,how many pencils does brian have now ?
65, karen number0 markers . her mother her number1 more markers . karen number2 markers . how many markers she now ?,karen has number0 markers . her mother gives her number1 more markers . karen loses number2 markers . how many markers does she have now ?,252 34 11,- + number0 number1 number2,275.0,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 14, 15, 16, 22, 23, 24]",karen has number0 markers . her mother gives her number1 more markers . karen loses number2 markers .,how many markers does she have now ?
66, on the first day of the week pat number0 stickers . pat number1 more during the week . how many stickers pat at the end of the week ?,on the first day of the week pat had number0 stickers . pat earned number1 more during the week . how many stickers did pat have at the end of the week ?,39 22,+ number0 number1,61.0,"[1, 5, 8, 9, 10, 13, 14, 15, 29, 30, 31]",on the first day of the week pat had number0 stickers . pat earned number1 more during the week .,how many stickers did pat have at the end of the week ?
67, connie number0 red markers and number1 blue markers . how many markers she altogether ?,connie has number0 red markers and number1 blue markers . how many markers does she have altogether ?,41 64,+ number0 number1,105.0,"[1, 2, 3, 4, 5, 6, 7, 8, 14, 15, 16]",connie has number0 red markers and number1 blue markers .,how many markers does she have altogether ?
68, joe number0 toy cars . if he number1 more cars how many cars will he then ?,joe had number0 toy cars . if he gets number1 more cars how many cars will he have then ?,50 12,+ number0 number1,62.0,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 16, 17, 18]",joe had number0 toy cars . if he gets number1 more cars,how many cars will he have then ?
69, maria number0 pieces of gum . tommy her number1 more pieces . luis her number2 more pieces . how many pieces of gum maria now ?,maria had number0 pieces of gum . tommy gave her number1 more pieces . luis gave her number2 more pieces . how many pieces of gum does maria have now ?,25 16 20,+ + number0 number1 number2,61.0,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 16, 17, 18, 19, 27, 28, 29]",maria had number0 pieces of gum . tommy gave her number1 more pieces . luis gave her number2 more pieces .,how many pieces of gum does maria have now ?
70, there number0 books on the shelf . marta number1 more books on the shelf . how many books on the shelf now ?,there are number0 books on the shelf . marta put number1 more books on the shelf . how many books are on the shelf now ?,38 10,+ number0 number1,48.0,"[1, 2, 3, 6, 9, 10, 11, 12, 22, 23, 24]",there are number0 books on the shelf . marta put number1 more books on the shelf .,how many books are on the shelf now ?
71, a bee number0 legs . how many legs number1 bees ?,a bee has number0 legs . how many legs do number1 bees have ?,6 8,* number0 number1,48.0,"[1, 2, 3, 4, 6, 9, 10, 11, 12]",a bee has number0 legs .,how many legs do number1 bees have ?
72, mrs. hilt number0 hot dogs . each hot dog cost number1 cents . how much money she for all of the hot dogs ?,mrs. hilt bought number0 hot dogs . each hot dog cost number1 cents . how much money did she pay for all of the hot dogs ?,6 50,* number0 number1,300.0,"[2, 3, 4, 5, 7, 10, 11, 12, 23, 24, 25]",mrs. hilt bought number0 hot dogs . each hot dog cost number1 cents .,how much money did she pay for all of the hot dogs ?
73, mrs. hilt number0 cents . a pencil number1 cents . how many pencils can she with the money she ?,mrs. hilt has number0 cents . a pencil costs number1 cents . how many pencils can she buy with the money she has ?,50 5,/ number0 number1,10.0,"[2, 3, 4, 8, 9, 10, 20, 21, 22]",mrs. hilt has number0 cents . a pencil costs number1 cents .,how many pencils can she buy with the money she has ?
74, mrs. hilt number0 cents . she a pencil for number1 cents and a piece of candy for number2 cents . how much money she ?,mrs. hilt had number0 cents . she bought a pencil for number1 cents and a piece of candy for number2 cents . how much money did she have left ?,43 20 5,- - number0 number1 number2,18.0,"[2, 3, 4, 10, 11, 12, 18, 19, 20, 26, 27, 28]",mrs. hilt had number0 cents . she bought a pencil for number1 cents and a piece of candy for number2 cents .,how much money did she have left ?
75, mrs. hilt carnival tickets . the tickets $ number0 for number1 tickets . if hilt number2 tickets how much she ?,mrs. hilt bought carnival tickets . the tickets cost $ number0 for number1 tickets . if mrs. hilt bought number2 tickets how much did she pay ?,1 4 12,/ number2 number1,3.0,"[2, 3, 9, 10, 11, 12, 13, 18, 19, 20, 23, 24, 25]",mrs. hilt bought carnival tickets . the tickets cost $ number0 for number1 tickets . if mrs. hilt bought number2 tickets,how much did she pay ?
76, mrs. hilt number0 snakes number1 alligators number2 frogs and number3 bears . how many reptiles hilt see ?,mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears . how many reptiles did mrs. hilt see ?,21 11 36 57,+ number0 number1,32.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19]",mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears .,how many reptiles did mrs. hilt see ?
