,Question,orig_Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
42, carla has some marbles . she bought number0 marbles . now she has number1 marbles . many did she start with ?,carla has some marbles . she bought number0 marbles . now she has number1 marbles . how many did she start with ?,134 187,- number1 number0,53.0,"[1, 2, 6, 7, 8, 12, 13, 14, 19, 20, 21]",2,Subtraction,carla has some marbles . she bought number0 marbles . now she has number1 marbles .,how many did she start with ?
43, paco had number0 cookies . he ate number1 of them . many cookies did paco have left ?,paco had number0 cookies . he ate number1 of them . how many cookies did paco have left ?,35 6,- number0 number1,29.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",2,Subtraction,paco had number0 cookies . he ate number1 of them .,how many cookies did paco have left ?
44, connie has number0 red markers and number1 blue markers . many markers does she have altogether ?,connie has number0 red markers and number1 blue markers . how many markers does she have altogether ?,41 64,+ number0 number1,105.0,"[1, 2, 3, 4, 5, 6, 7, 8, 14, 15, 16]",2,Addition,connie has number0 red markers and number1 blue markers .,how many markers does she have altogether ?
45, joe had number0 toy cars . if he gets number1 more cars many cars will he have then ?,joe had number0 toy cars . if he gets number1 more cars how many cars will he have then ?,50 12,+ number0 number1,62.0,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 16, 17, 18]",2,Addition,joe had number0 toy cars . if he gets number1 more cars,how many cars will he have then ?
46, there are number0 pigs in the barn . some more come to join them . now there are number1 pigs . many pigs came to join them ?,there are number0 pigs in the barn . some more come to join them . now there are number1 pigs . how many pigs came to join them ?,64 86,- number1 number0,22.0,"[1, 2, 3, 17, 18, 19, 25, 26, 27]",2,Subtraction,there are number0 pigs in the barn . some more come to join them . now there are number1 pigs .,how many pigs came to join them ?
47, rosa had number0 flowers . andre gave her some more flowers . now rosa has number1 flowers . many flowers did andre give to rosa ?,rosa had number0 flowers . andre gave her some more flowers . now rosa has number1 flowers . how many flowers did andre give to rosa ?,67 90,- number1 number0,23.0,"[1, 2, 3, 4, 5, 14, 15, 16, 23, 24, 25]",2,Subtraction,rosa had number0 flowers . andre gave her some more flowers . now rosa has number1 flowers .,how many flowers did andre give to rosa ?
48, adolfo made a tower with number0 blocks . he added some more blocks and now he has number1 blocks . many did he have to add ?,adolfo made a tower with number0 blocks . he added some more blocks and now he has number1 blocks . how many did he have to add ?,35 65,- number1 number0,30.0,"[1, 3, 4, 5, 6, 8, 16, 17, 18, 24, 25, 26]",2,Subtraction,adolfo made a tower with number0 blocks . he added some more blocks and now he has number1 blocks .,how many did he have to add ?
49, lucy put number0 shells in her bucket . she found some more shells and now she has number1 shells . many more did she find ?,lucy put number0 shells in her bucket . she found some more shells and now she has number1 shells . how many more did she find ?,68 89,- number1 number0,21.0,"[1, 2, 3, 8, 16, 17, 18, 23, 24, 25]",2,Subtraction,lucy put number0 shells in her bucket . she found some more shells and now she has number1 shells .,how many more did she find ?
50, josh had number0 marbles in his collection . he lost number1 marbles . many marbles does he have now ?,josh had number0 marbles in his collection . he lost number1 marbles . how many marbles does he have now ?,16 7,- number0 number1,9.0,"[1, 2, 3, 5, 9, 10, 11, 17, 18, 19]",2,Subtraction,josh had number0 marbles in his collection . he lost number1 marbles .,how many marbles does he have now ?
51, megan has number0 seashells . many more seashells does she need to find to have number1 seashells in her collection ?,megan has number0 seashells . how many more seashells does she need to find to have number1 seashells in her collection ?,19 25,- number1 number0,6.0,"[1, 2, 3, 6, 10, 15, 16, 17, 18, 19, 20]",2,Subtraction,megan has number0 seashells .,how many more seashells does she need to find to have number1 seashells in her collection ?
52, brad has number0 balloons . number1 balloons are red and the rest are green . many green balloons does brad have ?,brad has number0 balloons . number1 balloons are red and the rest are green . how many green balloons does brad have ?,17 8,- number0 number1,9.0,"[1, 2, 3, 5, 6, 8, 19, 20, 21]",2,Subtraction,brad has number0 balloons . number1 balloons are red and the rest are green .,how many green balloons does brad have ?
53, there are number0 books on the shelf . marta put number1 more books on the shelf . many books are on the shelf now ?,there are number0 books on the shelf . marta put number1 more books on the shelf . how many books are on the shelf now ?,38 10,+ number0 number1,48.0,"[1, 2, 3, 6, 9, 10, 11, 12, 22, 23, 24]",2,Addition,there are number0 books on the shelf . marta put number1 more books on the shelf .,how many books are on the shelf now ?
54, mrs. hilt wants to make a border around her garden . she needs number0 rocks to complete the border . she has number1 rocks . many more rocks does she need to complete the border ?,mrs. hilt wants to make a border around her garden . she needs number0 rocks to complete the border . she has number1 rocks . how many more rocks does she need to complete the border ?,125 64,- number0 number1,61.0,"[1, 2, 33, 34, 35, 6, 12, 13, 14, 21, 22, 23]",2,Subtraction,mrs. hilt wants to make a border around her garden . she needs number0 rocks to complete the border . she has number1 rocks .,how many more rocks does she need to complete the border ?
55, mrs. hilt had number0 marbles . she lost number1 of them . many marbles does she have left ?,mrs. hilt had number0 marbles . she lost number1 of them . how many marbles does she have left ?,38 15,- number0 number1,23.0,"[1, 2, 3, 4, 6, 7, 8, 9, 16, 17, 18]",2,Subtraction,mrs. hilt had number0 marbles . she lost number1 of them .,how many marbles does she have left ?
56, mrs. hilt and her sister drove to a concert number0 miles away . they drove number1 miles and then stopped for gas . her sister put number2 gallons of gas in the car . many miles did they have left to drive ?,mrs. hilt and her sister drove to a concert number0 miles away . they drove number1 miles and then stopped for gas . her sister put number2 gallons of gas in the car . how many miles did they have left to drive ?,78 32 28,- number0 number1,46.0,"[1, 2, 6, 8, 9, 10, 40, 41, 42, 14, 15, 16, 25, 26, 27]",2,Subtraction,mrs. hilt and her sister drove to a concert number0 miles away . they drove number1 miles and then stopped for gas . her sister put number2 gallons of gas in the car .,how many miles did they have left to drive ?
57, mrs. hilt saw number0 butterflies . some of the butterflies were red and others were orange . if number1 of the butterflies were orange many of them were red ?,mrs. hilt saw number0 butterflies . some of the butterflies were red and others were orange . if number1 of the butterflies were orange how many of them were red ?,33 20,- number0 number1,13.0,"[2, 3, 4, 17, 18, 19, 27, 28, 29]",2,Subtraction,mrs. hilt saw number0 butterflies . some of the butterflies were red and others were orange . if number1 of the butterflies were orange,how many of them were red ?
58, on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before . many raisins were on the table on monday ?,on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before . how many raisins were on the table on monday ?,88 8,- number0 number1,80.0,"[32, 1, 33, 3, 4, 5, 6, 34, 15, 16, 17, 18]",2,Subtraction,on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before .,how many raisins were on the table on monday ?
59, mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears . many reptiles did mrs. hilt see ?,mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears . how many reptiles did mrs. hilt see ?,21 11 36 57,+ number0 number1,32.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19]",2,Addition,mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears .,how many reptiles did mrs. hilt see ?
60, zach scored number0 points in the football game . ben scored number1 points . many more points did zach score ?,zach scored number0 points in the football game . ben scored number1 points . how many more points did zach score ?,42 21,- number0 number1,21.0,"[1, 2, 3, 6, 10, 11, 12, 18, 19, 20]",2,Subtraction,zach scored number0 points in the football game . ben scored number1 points .,how many more points did zach score ?
61, kate has number0 pennies . john has number1 pennies . many more pennies does john have ?,kate has number0 pennies . john has number1 pennies . how many more pennies does john have ?,223 388,- number1 number0,165.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",2,Subtraction,kate has number0 pennies . john has number1 pennies .,how many more pennies does john have ?
62, mark has number0 trees in his backyard . if he plants number1 more many trees will he have ?,mark has number0 trees in his backyard . if he plants number1 more how many trees will he have ?,13 12,+ number0 number1,25.0,"[1, 2, 3, 6, 10, 11, 12, 16, 17, 18]",2,Addition,mark has number0 trees in his backyard . if he plants number1 more,how many trees will he have ?
63, dan has $ number0 . he bought a candy bar for $ number1 . much money is left ?,dan has $ number0 . he bought a candy bar for $ number1 . how much money is left ?,3.00 1.00,- number0 number1,2.0,"[1, 2, 3, 11, 12, 16, 17, 18]",2,Subtraction,dan has $ number0 . he bought a candy bar for $ number1 .,how much money is left ?
64, charlie has number0 more snowballs than lucy . she has number1 snowballs . many does charlie have ?,charlie has number0 more snowballs than lucy . she has number1 snowballs . how many does charlie have ?,31 19,+ number0 number1,50.0,"[1, 2, 3, 4, 9, 10, 11, 15, 16, 17]",2,Addition,charlie has number0 more snowballs than lucy . she has number1 snowballs .,how many does charlie have ?
65, randy has number0 blocks . he uses number1 blocks to build a tower . many blocks are left ?,randy has number0 blocks . he uses number1 blocks to build a tower . how many blocks are left ?,78 19,- number0 number1,59.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",2,Subtraction,randy has number0 blocks . he uses number1 blocks to build a tower .,how many blocks are left ?
66, gino has number0 brown bears number1 white bears and number2 black bears . many bears does gino have ?,gino has number0 brown bears number1 white bears and number2 black bears . how many bears does gino have ?,15 24 27,+ + number0 number1 number2,66.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18]",2,Sum,gino has number0 brown bears number1 white bears and number2 black bears .,how many bears does gino have ?
67, morgan has number0 red pens number1 blue pens and number2 black pens . many pens does she have ?,morgan has number0 red pens number1 blue pens and number2 black pens . how many pens does she have ?,65 45 58,+ + number0 number1 number2,168.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18]",2,Sum,morgan has number0 red pens number1 blue pens and number2 black pens .,how many pens does she have ?
68, bryan has number0 skittles . ben has number1 m & m 's . many more does brian have ?,bryan has number0 skittles . ben has number1 m & m 's . how many more does brian have ?,50 20,- number0 number1,30.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",2,Subtraction,bryan has number0 skittles . ben has number1 m & m 's .,how many more does brian have ?
69, while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5 many nails will they have ?,while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5 how many nails will they have ?,9 2 1 55 1 31,+ + number0 number5 number3,95.0,"[3, 9, 17, 27, 28, 29, 30, 31, 34, 35, 36, 40, 41, 42, 43, 44, 47, 48, 49, 50, 51, 54, 55, 56]",3,Sum,while building the house charlie noticed that they were running out of nails so he told his father he 's going to buy some . if they still have number0 nails left and charlie bought number1 boxes of nails the big number2 containing number3 nails and the small number4 containing number5,how many nails will they have ?
70, the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint . many ounces of paint would they buy in total ?,the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint . how many ounces of paint would they buy in total ?,20 15 34,+ + number0 number1 number2,69.0,"[32, 33, 1, 6, 7, 45, 46, 47, 20, 21, 22, 25, 26, 27, 31]",3,Sum,the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint .,how many ounces of paint would they buy in total ?
71, upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2 many cookies were eaten in total ?,upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2 how many cookies were eaten in total ?,15 10 5,+ + number0 number1 number2,30.0,"[32, 33, 2, 34, 7, 10, 15, 16, 17, 20, 21, 22, 26, 27, 28]",3,Sum,upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2,how many cookies were eaten in total ?
