,Question,orig_Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
27, Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet . many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet . How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,30.0 4.0,* number0 number1,120.0,"[14, 15, 16, 37, 38, 39, 38, 39, 40]",Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet .,How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?
28," Last year , number0 people were born in a country , and number1 people immigrated to it . many new people began living in the country last year ?","Last year , number0 people were born in a country , and number1 people immigrated to it . How many new people began living in the country last year ?",90171.0 16320.0,+ number0 number1,106491.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]","Last year , number0 people were born in a country , and number1 people immigrated to it .",How many new people began living in the country last year ?
29, Christine wandered number0 miles at number1 miles per hour . long did Christine wander ?,Christine wandered number0 miles at number1 miles per hour . How long did Christine wander ?,20.0 4.0,/ number0 number1,5.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Christine wandered number0 miles at number1 miles per hour .,How long did Christine wander ?
30, Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each . many small gardens did Emily have ?,Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each . How many small gardens did Emily have ?,42.0 36.0 2.0,/ - number0 number1 number2,3.0,"[10, 11, 12, 14, 15, 16, 29, 30, 31, 38, 39, 40]",Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each .,How many small gardens did Emily have ?
31," Dana earns $ number0 per hour . She worked number1 hours on Friday , number2 hours on Saturday , and number3 hours on Sunday . much money did Dana earn in all ?","Dana earns $ number0 per hour . She worked number1 hours on Friday , number2 hours on Saturday , and number3 hours on Sunday . How much money did Dana earn in all ?",13.0 9.0 10.0 3.0,* number0 + + number1 number2 number3,286.0,"[2, 3, 4, 8, 9, 10, 13, 14, 15, 19, 20, 21, 30, 31, 32]","Dana earns $ number0 per hour . She worked number1 hours on Friday , number2 hours on Saturday , and number3 hours on Sunday .",How much money did Dana earn in all ?
32," Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , many carrots would she have total ?","Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",12.0 2.0 21.0,- + number0 number2 number1,31.0,"[1, 2, 3, 11, 12, 13, 17, 18, 19, 28, 29, 30]","Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day ,",how many carrots would she have total ?
33," My dog had some bones . Then , he dug up number0 bones . Now he has number1 bones . many bones did he start with ?","My dog had some bones . Then , he dug up number0 bones . Now he has number1 bones . How many bones did he start with ?",367.0 860.0,- number1 number0,493.0,"[10, 11, 12, 16, 17, 18, 24, 25, 26]","My dog had some bones . Then , he dug up number0 bones . Now he has number1 bones .",How many bones did he start with ?
34," There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more , many gallons will there be in all ?","There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more , how many gallons will there be in all ?",7.75 7.0,+ number0 number1,14.75,"[1, 2, 3, 14, 15, 16, 24, 25, 26]","There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more ,",how many gallons will there be in all ?
35," While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?","While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",5.0 5.0 5.0,* number0 + number0 number0,50.0,"[7, 8, 9, 15, 16, 17, 28, 29, 30, 34, 35, 36]","While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?
36," Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds , many points did they earn ?","Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",3.0 11.0 16.0,/ + number1 number2 number0,9.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 37, 38, 39]","Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds ,",how many points did they earn ?
37, Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches . many did he pick ?,Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches . how many did he pick ?,34.0 86.0,- number1 number0,52.0,"[1, 2, 3, 24, 25, 26, 30, 31, 32]",Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches .,how many did he pick ?
38, Paige was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . many pieces of winter clothing did Paige have total ?,Paige was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Paige have total ?,6.0 5.0 5.0,* number0 + number1 number1,60.0,"[11, 12, 13, 21, 22, 23, 24, 25, 26, 35, 36, 37]",Paige was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .,How many pieces of winter clothing did Paige have total ?
39, Sally saw number0 dozen birds in a tree . many birds did Sally see ?,Sally saw number0 dozen birds in a tree . How many birds did Sally see ?,1.0,* number0 12.0,12.0,"[1, 2, 3, 12, 13, 14]",Sally saw number0 dozen birds in a tree .,How many birds did Sally see ?
40," A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table , many tables did he have ?","A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table , how many tables did he have ?",21.0 12.0 3.0,/ - number0 number1 number2,3.0,"[2, 3, 4, 9, 10, 11, 20, 21, 22, 30, 31, 32]","A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table ,",how many tables did he have ?
41, Todd has some gum . Steve gave him number0 more pieces of gum . Now Todd has number1 pieces of gum . many pieces did Todd have to start with ?,Todd has some gum . Steve gave him number0 more pieces of gum . Now Todd has number1 pieces of gum . How many pieces did Todd have to start with ?,16.0 54.0,- number1 number0,38.0,"[7, 8, 9, 16, 17, 18, 30, 31, 32]",Todd has some gum . Steve gave him number0 more pieces of gum . Now Todd has number1 pieces of gum .,How many pieces did Todd have to start with ?
42," Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , many number2 dollar games could he buy with the money he had left ?","Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",69.0 24.0 5.0,/ - number0 number1 number2,9.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 31, 32, 33]","Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",how many number2 dollar games could he buy with the money he had left ?
43," Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , many books did she have total ?","Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",4.0 5.0 3.0,* number0 + number1 number2,32.0,"[13, 14, 15, 21, 22, 23, 27, 28, 29, 38, 39, 40]","Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?
44," Paul had saved up number0 dollars . If he received another number1 dollars for his allowance , many number2 dollar toys could he buy ?","Paul had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?",4.0 11.0 5.0,/ + number0 number1 number2,3.0,"[3, 4, 5, 10, 11, 12, 18, 19, 20, 22, 23, 24]","Paul had saved up number0 dollars . If he received another number1 dollars for his allowance ,",how many number2 dollar toys could he buy ?
45, Mary starts with number0 eggs . She finds another number1 . many eggs does Mary end with ?,Mary starts with number0 eggs . She finds another number1 . How many eggs does Mary end with ?,27.0 4.0,+ number0 number1,31.0,"[2, 3, 4, 8, 9, 10, 15, 16, 17]",Mary starts with number0 eggs . She finds another number1 .,How many eggs does Mary end with ?
46," Brandy made trail mix for a backpacking trip . She used number0 pound of peanuts , number1 pound of chocolate chips , and number2 pound of raisins . many pounds of trail mix did Brandy make ?","Brandy made trail mix for a backpacking trip . She used number0 pound of peanuts , number1 pound of chocolate chips , and number2 pound of raisins . How many pounds of trail mix did Brandy make ?",0.16666666666666666 0.16666666666666666 0.08333333333333333,+ + number0 number0 number2,0.4166666666666667,"[10, 11, 12, 15, 16, 17, 22, 23, 24, 34, 35, 36]","Brandy made trail mix for a backpacking trip . She used number0 pound of peanuts , number1 pound of chocolate chips , and number2 pound of raisins .",How many pounds of trail mix did Brandy make ?
47, Bridget weighs number0 pounds . Martha weighs number1 pounds . much heavier is Bridget than Martha ?,Bridget weighs number0 pounds . Martha weighs number1 pounds . How much heavier is Bridget than Martha ?,39.0 2.0,- number0 number1,37.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Bridget weighs number0 pounds . Martha weighs number1 pounds .,How much heavier is Bridget than Martha ?
48, For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile . many piles could she make ?,For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile . How many piles could she make ?,78.0 30.0 8.0,/ - number0 number1 number2,6.0,"[3, 4, 5, 10, 11, 12, 19, 20, 21, 28, 29, 30]",For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,How many piles could she make ?
49, There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer . many pencils are now there in all ?,There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer . How many pencils are now there in all ?,115.0 100.0,+ number0 number1,215.0,"[1, 2, 3, 9, 10, 11, 21, 22, 23]",There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer .,How many pencils are now there in all ?
50," While playing at the arcade , Luke won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he was trying to buy candy that cost number2 tickets a piece , many could he buy ?","While playing at the arcade , Luke won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he was trying to buy candy that cost number2 tickets a piece , how many could he buy ?",2.0 13.0 3.0,/ + number0 number1 number2,5.0,"[7, 8, 9, 16, 17, 18, 33, 34, 35, 41, 42, 43]","While playing at the arcade , Luke won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he was trying to buy candy that cost number2 tickets a piece ,",how many could he buy ?
51, A multi - national corporation has number0 part - time employees and number1 full - time employees . many employees work for the corporation ?,A multi - national corporation has number0 part - time employees and number1 full - time employees . How many employees work for the corporation ?,2041.0 63093.0,+ number0 number1,65134.0,"[5, 6, 7, 11, 12, 13, 22, 23, 24]",A multi - national corporation has number0 part - time employees and number1 full - time employees .,How many employees work for the corporation ?
52, A box of books weighs number0 pounds . Each book weighs number1 pounds . many books are there in the box ?,A box of books weighs number0 pounds . Each book weighs number1 pounds . How many books are there in the box ?,42.0 3.0,/ number0 number1,14.0,"[4, 5, 6, 10, 11, 12, 19, 20, 21]",A box of books weighs number0 pounds . Each book weighs number1 pounds .,How many books are there in the box ?
53, You have number0 balloons and your friend has number1 balloons . many more balloons do you have than your friend ?,You have number0 balloons and your friend has number1 balloons . How many more balloons do you have than your friend ?,7.0 5.0,- number0 number1,2.0,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",You have number0 balloons and your friend has number1 balloons .,How many more balloons do you have than your friend ?
54," At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , much money did he earn ?","At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , how much money did he earn ?",10.0 5.0 3.0,* number2 - number0 number1,15.0,"[4, 5, 6, 7, 8, 9, 20, 21, 22, 33, 34, 35]","At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip ,",how much money did he earn ?
55," There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , many students would be in each group ?","There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , how many students would be in each group ?",17.0 5.0 3.0,/ - number0 number1 number2,4.0,"[1, 2, 3, 13, 14, 15, 29, 30, 31, 38, 39, 40]","There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",how many students would be in each group ?
56," An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed . many gallons of oil leaked while the engineers were fixing the pipe ?","An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed . How many gallons of oil leaked while the engineers were fixing the pipe ?",2475.0 6206.0,- number1 number0,3731.0,"[15, 16, 17, 27, 28, 29, 49, 50, 51]","An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed .",How many gallons of oil leaked while the engineers were fixing the pipe ?
57," If Benjamin skated number0 kilometers at number1 kilometers per hour , long was Benjamin skating ?","If Benjamin skated number0 kilometers at number1 kilometers per hour , how long was Benjamin skating ?",80.0 10.0,/ number0 number1,8.0,"[2, 3, 4, 5, 6, 7, 13, 14, 15]","If Benjamin skated number0 kilometers at number1 kilometers per hour ,",how long was Benjamin skating ?
58, A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . many cages did they use ?,A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . How many cages did they use ?,88.0 34.0 6.0,/ - number0 number1 number2,9.0,"[3, 4, 5, 11, 12, 13, 21, 22, 23, 30, 31, 32]",A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,How many cages did they use ?
59," Dave bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , many pieces did Dave still have ?","Dave bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Dave still have ?",12.0 5.0 3.0,* number2 - number0 number1,21.0,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 28, 29, 30]","Dave bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",how many pieces did Dave still have ?
60," Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken . many unbroken seashells did Mike find ?","Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken . How many unbroken seashells did Mike find ?",6.0 4.0 4.0,- number0 number1,2.0,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 20, 21, 22]","Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken .",How many unbroken seashells did Mike find ?
61," There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , many students would be in each group ?","There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups , how many students would be in each group ?",64.0 36.0 4.0,/ - number0 number1 number2,7.0,"[1, 2, 3, 13, 14, 15, 29, 30, 31, 38, 39, 40]","There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",how many students would be in each group ?
62, Mrs. Hilt bought number0 pizzas for $ number1 each . What was the total amount she paid for the three pizzas ?,Mrs. Hilt bought number0 pizzas for $ number1 each . What was the total amount she paid for the three pizzas ?,3.0 8.0,* number0 number1,24.0,"[2, 3, 4, 6, 7, 8, 18, 19, 20]",Mrs. Hilt bought number0 pizzas for $ number1 each .,What was the total amount she paid for the three pizzas ?
